x,y,xvel,yvel
-1898,1960,279,-35
-1897,1961,351,-8
-1896,1962,-30,257
-1894,1963,523,-113
-1891,1964,594,73
-1888,1964,586,25
-1885,1964,588,31
-1882,1963,589,-532
-1879,1962,153,-596
-1878,1961,-171,-344
-1878,1960,-99,-242
-1877,1959,-15,-244
-1875,1957,372,-587
-1874,1955,293,-490
-1873,1953,-9,-469
-1871,1951,-39,-455
-1870,1949,-86,-631
-1870,1947,66,-631
-1869,1944,-35,-764
-1868,1940,-110,-768
-1867,1936,119,-680
-1867,1933,57,-1038
-1867,1929,15,-1077
-1866,1925,29,-1025
-1867,1922,-289,-712
-1867,2174,-360,-676
-1868,2171,-151,-669
-1869,2168,-223,-890
-1870,2164,-532,-866
-1872,2161,-662,-456
-1875,2160,-490,-382
-1876,2160,-242,30
-1877,2160,-189,-318
-1879,2158,-598,-397
-1881,2156,-567,-474
-1882,2153,-203,-499
-1883,2151,-193,-466
-1884,2149,-250,-445
-1885,2147,-538,-417
-1887,2145,-539,-402
-1888,2143,-564,-588
-1890,2141,-567,-590
-1891,2140,-208,-380
-1893,2139,-806,-613
-1896,2137,-830,-572
-1898,2136,-586,-178
-1899,2135,-315,-515
-1900,2133,-602,-226
-1901,2133,-238,-299
-1902,2133,-238,-269
-1903,2133,-224,0
-1904,2134,-216,63
-1905,2134,-210,84
-1906,2134,-249,-126
-1908,2135,-517,-124
-1909,2136,-518,-115
-1910,2136,-319,-168
-1911,2135,-581,65
-1912,2136,-224,106
-1914,2136,-541,-35
-1915,2138,-523,-13
-1916,2139,-514,287
-1918,2140,-235,294
-1919,2142,-218,316
-1920,2144,-213,313
-1665,2145,-197,300
-1666,2147,-202,287
-1667,2148,-349,-49
-1668,2150,-548,608
-1669,2153,-186,637
-1670,2156,-164,615
-1671,2160,-383,471
-1671,2163,-348,790
-1672,2167,-346,457
-1672,2171,-269,435
-1672,2174,61,387
-1671,1921,118,613
-1670,1924,-94,608
-1669,1927,-50,567
-1668,1930,-11,535
-1667,1933,309,517
-1665,1935,410,229
-1918,1936,181,78
-1916,1937,-41,95
-1915,1937,318,-20
-1913,1939,316,134
-1912,1941,291,168
-1911,1943,263,163
-1909,1945,-57,197
-1908,1947,-72,378
-1907,1949,-22,379
-1906,1951,314,172
-1905,1953,300,-36
-1903,1954,144,269
-1901,1955,236,367
-1898,1957,201,272
-1896,1958,337,-61
-1896,1960,81,350
-1895,1961,59,-154
-1895,1960,-37,43
-1894,1960,-65,27
-1893,1961,103,-121
-1892,1961,318,54
-1891,1961,-28,-306
-1890,1961,-26,-379
-1889,1960,-42,-174
-1888,1959,-2,-534
-1887,1957,-56,-574
-1886,1955,-70,-466
-1885,1952,-122,-810
-1884,1950,113,-794
-1884,1947,-105,-795
-1883,1944,59,-685
-1883,1940,10,-847
-1883,1938,-347,-854
-1884,1935,-148,-824
-1885,1932,-230,-827
-1886,1929,-547,-794
-1888,1926,-563,-471
-1889,1924,-609,-490
-1891,1922,-431,-500
-1894,2175,-819,-829
-1896,2172,-821,-781
-1899,2170,-871,-501
-1903,2167,-704,-420
-1906,2165,-643,-576
-1909,2164,-681,-245
-1913,2163,-720,-186
-1916,2162,-1076,-305
-1920,2162,-860,-369
-1666,2161,-405,-225
-1668,2160,-143,-370
-1668,2159,-367,-340
-1669,2159,-358,-339
-1669,2158,-365,-376
-1670,2158,-201,-200
-1671,2157,-216,-203
-1672,2155,-539,-594
-1675,2154,-428,-570
-1677,2153,-400,-305
-1678,2153,-537,21
-1680,2153,-234,-364
-1681,2152,-570,-330
-1683,2153,-550,111
-1684,2153,-154,-122
-1685,2154,-210,272
-1686,2156,-361,-293
-1687,2156,-207,129
-1688,2158,-181,138
-1689,2160,-160,209
-1689,2163,-133,232
-1690,2166,-373,453
-1690,2169,-156,564
-1691,2173,-279,501
-1691,1920,17,389
-1691,1923,84,626
-1690,1926,-115,580
-1689,1929,-48,576
-1688,1932,266,549
-1687,1935,277,227
-1685,1937,366,245
-1683,1940,342,225
-1681,1943,527,428
-1678,1946,157,215
-1677,1947,47,47
-1677,1947,-106,-114
-1676,1948,117,-72
-1676,1949,104,-15
-1675,1951,-269,-3
-1676,1952,-359,261
-1676,1953,-191,266
-1678,1953,-610,-324
-1680,1954,-600,332
-1680,1957,-277,216
-1680,1959,85,346
-1680,1960,-112,288
-1679,1962,-79,-13
-1678,1963,-60,-45
-1677,1963,85,25
-1677,1964,-53,113
-1675,1964,-32,-128
-1674,1965,19,-329
-1674,1965,-113,-106
-1674,1966,-81,-60
-1673,1967,269,-56
-1671,1968,340,-28
-1669,1969,379,-52
-1667,1970,128,-75
-1665,1971,193,130
-1919,1973,378,-48
-1918,1974,-7,-125
-1917,1974,-262,-73
-1916,1976,-89,329
-1915,1977,275,-103
-1914,1978,-9,-119
-1912,1978,292,110
-1911,1979,319,85
-1910,1979,-124,17
-1908,1979,287,-346
-1907,1978,-8,-364
-1906,1978,-16,-133
-1905,1977,45,111
-1904,1978,303,-315
-1902,1977,303,-370
-1901,1977,-25,-197
-1900,1975,269,-560
-1899,1974,268,-428
-1898,1971,117,-510
-1897,1969,-61,-778
-1896,1966,-124,-880
-1896,1963,108,-854
-1895,1960,-84,-395
-1894,1957,127,-686
-1894,1954,41,-646
-1894,1951,-299,-880
-1894,1948,-347,-889
-1895,1945,-154,-876
-1896,1941,-225,-874
-1897,1938,-540,-855
-1899,1935,-598,-828
-1900,1933,-612,-776
-1902,1930,-415,-775
-1905,1927,-460,-510
-1907,1925,-497,-799
-1910,1922,-782,-835
-1912,2175,-788,-828
-1915,2172,-720,-474
-1919,2171,-808,-228
-1665,2170,-392,-225
-1667,2168,-556,-881
-1669,2165,-468,-830
-1671,2162,-574,-552
-1673,2161,-204,-140
-1674,2161,-221,-355
-1675,2160,-214,-325
-1676,2160,-193,-311
-1677,2160,-227,-307
-1677,2159,-182,-596
-1679,2158,-413,-208
-1681,2157,-400,-181
-1683,2156,-397,-163
-1684,2155,18,-308
-1685,2155,-231,-176
-1686,2154,-536,-316
-1688,2154,-524,-310
-1689,2154,-531,-286
-1690,2154,-211,21
-1691,2154,-606,-329
-1693,2154,-240,84
-1694,2155,-212,118
-1695,2155,-215,-95
-1696,2156,-359,-371
-1697,2156,-551,275
-1698,2157,-190,272
-1699,2159,-187,156
-1700,2161,-135,199
-1701,2164,-200,271
-1702,2166,-162,611
-1702,2169,3,441
-1702,2172,56,623
-1702,2175,64,590
-1701,1923,-106,452
-1700,1926,-53,400
-1699,1929,310,417
-1697,1933,363,542
-1695,1935,209,242
-1693,1937,528,188
-1690,1940,567,135
-1687,1941,590,347
-1684,1943,591,301
-1681,1944,406,280
-1678,1946,495,-20
-1674,1947,816,-81
-1670,1947,825,115
-1665,1947,640,-309
-1918,1947,242,14
-1917,1947,-2,-40
-1917,1947,40,39
-1917,1947,-123,41
-1916,1947,-43,52
-1915,1947,-41,26
-1913,1948,355,-264
-1911,1948,376,9
-1909,1947,164,-325
-1907,1947,131,-361
-1905,1946,349,-135
-1904,1946,-122,79
-1903,1946,-41,111
-1901,1946,-36,-135
-1900,1945,264,-244
-1899,1943,278,-540
-1897,1942,299,-586
-1896,1941,260,-206
-1895,1939,-66,-489
-1894,1936,-122,-819
-1894,1934,123,-815
-1893,1931,-57,-456
-1892,1927,106,-735
-1892,1924,33,-738
-1892,1920,-300,-896
-1892,2173,-365,-642
-1893,2170,-178,-859
-1895,2167,-870,-471
-1897,2165,-455,-236
-1899,2165,-235,-271
-1900,2165,-198,-351
-1901,2164,-192,-211
-1902,2162,-194,-620
-1903,2161,-237,-387
-1904,2158,-234,-467
-1905,2156,-210,-422
-1906,2154,-107,-371
-1906,2153,-284,-536
-1908,2152,-619,-515
-1910,2150,-460,-209
-1912,2149,-462,-186
-1914,2149,-436,-154
-1917,2148,-466,-171
-1919,2147,-502,-165
-1666,2146,-855,-535
-1669,2145,-873,-210
-1671,2144,-350,-527
-1672,2142,-148,-598
-1672,2142,43,-57
-1673,2142,-208,-304
-1674,2141,-209,-304
-1675,2141,-207,-271
-1676,2141,-142,29
-1677,2142,-234,66
-1679,2142,-516,79
-1680,2142,-551,96
-1681,2143,-281,-372
-1682,2142,-139,-383
-1682,2141,-325,-380
-1683,2141,-272,29
-1682,2142,74,339
-1682,2144,-57,548
-1680,2148,276,628
-1680,2149,-165,7
-1681,2149,-259,68
-1681,2150,109,548
-1680,2154,91,429
-1680,2156,98,200
-1679,2158,28,192
-1679,2161,25,229
-1679,2163,24,250
-1679,2166,9,186
-1679,2168,101,617
-1678,2171,96,571
-1678,2174,-122,558
-1677,1921,-52,222
-1676,1923,277,190
-1674,1925,360,166
-1672,1927,181,175
-1670,1929,197,157
-1667,1931,213,140
-1665,1933,242,163
